distrito;inep;unidade_escolar;creche;pre_escola;1_ano;2_ano;3_ano;4_ano;5_ano;6_ano;7_ano;8_ano;9_ano;eja_ai;eja_af
3;23065125;E.M. PROF.? AMERICO BARREIRA;0;0;0;0;0;0;0;245;288;194;152;60;109
3;23188375;E.M. PROF.? CLODOALDO PINTO;93;110;78;74;69;88;97;0;0;0;0;0;0
3;23184680;E.M. PROF.? DENIZARD MACEDO DE ALCANTARA;58;106;92;98;102;162;159;0;0;0;0;25;67
3;23263040;E.M. PROF.? GERARDO MILTON DE SA;94;99;65;81;98;110;133;190;194;0;0;28;78
3;23069350;E.M. PROF.? JOSE MILITAO DE ALBUQUERQUE;76;0;44;54;65;68;66;113;121;112;195;0;82
3;23072156;E.M. PROF.? JOSE SOBREIRA DE AMORIM;157;203;113;109;110;99;99;0;0;0;0;0;0
3;23074140;E.M. PROF.? MARTINZ DE AGUIAR;60;80;0;0;0;0;0;159;139;155;160;22;72
3;23189681;E.M. PROF.? MARIA LIDUINA CORREA LEITE;153;241;154;125;0;0;0;0;0;0;0;0;0
3;23257695;E.M. SANTA LUZIA;56;160;86;81;85;83;29;0;0;0;0;0;0
3;23187778;E.M. SANTA MARIA;0;137;0;0;0;0;0;244;252;252;183;23;101
3;23257075;E.M. SAO CARLOS;156;226;46;42;38;0;0;0;0;0;0;0;0
3;23256060;E.M. SAO JOSE;0;0;0;0;0;0;0;123;131;127;122;33;115
3;23257750;E.M. SAO RAIMUNDO;95;116;45;72;82;89;92;0;0;0;0;0;0
4;23186909;E.M. ABDENAGO DA ROCHA LIMA;0;21;44;71;64;92;78;0;0;0;0;0;0
4;23264179;E.M. ADALBERTO STUDART FILHO;76;154;86;108;128;64;65;0;0;0;0;0;0
4;23256850;E.M. ANDRE LUIS;104;147;87;90;76;78;96;0;0;0;0;0;0
4;23065621;E.M. ARI DE SA CAVALCANTE;82;0;0;0;63;63;107;153;158;91;94;0;0
4;23066660;E.M. CATULO DA PAIXAO CEARENSE;76;142;87;70;97;0;0;0;0;0;0;0;0
4;23075155;E.M. CLAUDIO MARTINS;0;0;0;0;0;0;0;139;202;202;216;0;0
4;23324244;EMTI CAROLINO SUCUPIRA;0;0;39;41;56;61;66;0;0;0;0;0;0
4;23078740;EMTI DIOGO VITAL DE SIQUEIRA;0;0;0;0;0;0;0;76;76;114;152;0;0
4;23259566;EMTI EDUCACAO BILINGUE FRANCISCO S. B. MOTA;0;21;11;9;18;9;14;0;0;0;0;0;0
4;23070250;EMTI FILGUEIRAS LIMA;182;41;0;0;0;0;0;110;114;113;111;0;0
4;23275006;EMTI LEONEL DE MOURA BRIZOLA;0;0;0;0;0;0;0;114;114;114;110;0;0
4;23259540;EMTI PROF.? EDGAR LINHARES LIMA;0;0;0;0;0;0;0;106;110;106;115;0;0
